id;surnom;poids;id_pers
1;le youtubeur;10;1
2;Norman;10;1
3;l’humoriste français;10;1
4;l’idole des jeunes;10;1
5;l’auteur des “Chemises”;10;1
6;le Président de la République;10;2
7;le Président;10;2
8;le dinosaure;10;3
9;le petit dinosaure;10;3
10;le dinosaure vert;10;3
11;le plombier;10;5
12;le plombier italien;10;5
13;l’homme politique;10;6
14;le député;10;6
15;le député insoumi;10;6
16;le Président;10;7
17;le Président américain;10;7
18;le leader;10;8
19;le dictateur;10;8
20;le leader nord-coréen;10;8
21;le rappeur;10;9
22;le rappeur;10;10
23;le rappeur;10;11
24;le rappeur marseillais;10;11
25;le vidéaste;10;12
26;le vidéaste;10;13
27;le comédien;10;13
28;le rappeur;10;13
29;le vidéaste;10;4
30;l’auteur;10;4
31;l’humoriste;10;4
32;l’humoriste préféré des français;10;4
33;le vidéaste;10;14
34;l’homme;10;15
35;le futur bachelier;10;16
36;le rappeur;10;17
37;le chanteur;10;18
38;le chef d’entreprise;10;19
39;le milliardaire;10;19
40;le comédien;10;20
41;le personnage;10;21
42;l’ancien Premier Ministre;10;22
43;l’ancien candidat à l’élection présidentielle;10;22
44;l’ancien Président de la République;10;23
45;l’ancien candidat à la primaire de la droite et du centre;10;23
46;le fonctionnaire;10;24
47;le fonctionnaire;10;25
48;l’entrepreneur;10;26
49;le milliardaire;10;26
50;le fondateur de Facebook;10;26
51;l’entrepreneur;10;27
52;le milliardaire;10;27
53;le fondateur d’Amazon;10;27
54;le supporter marseillais;10;28
55;l’ancien Président de la République;10;29
56;le plombier;10;30
57;le plombier italien;10;30
58;le plombier;10;31
59;le plombier;10;35
60;le rappeur;10;36
61;le rappeur français;10;36
62;le rappeur rouennais;10;36
63;le rappeur américain français;10;36
64;le rappeur sous-côté surveillant à Rouen;10;36
65;le fantôme;10;32
66;le mystérieux personnage;10;32
67;le jeune hylien;10;33
68;l’ancien Président;10;34
69;l’ancien Président américain;10;34
70;le footballer;10;37
71;le rappeur;10;38
72;Fouiny;10;38
73;le chroniqueur;10;39
74;le vidéaste;10;39
75;l’éditorialiste;10;39
76;l’ancien Premier Ministre;10;40
77;l’ancien Maire de Bordeau;10;40
78;l’entrepreneur;10;41
79;le squelette;10;42
80;le petit squelette;10;42
81;le personnage squelette;10;42
82;le maître jedi;10;43
83;le jedi;10;43
84;le jedi à la retraite;10;43
85;l’éditorialiste;10;44
86;le directeur de la rédaction de l’Express;10;44
87;le chroniqueur;10;45
88;le chroniqueur;10;46
89;le philosophe;30;47
90;le “philosophe”;10;47
91;le « philosophe »;10;47
92;le « philosophe mes couilles » d’après {pers.nom};10;47
93;l’ancien Premier Ministre;10;48
94;le maire du Havre;10;48
95;le syndicaliste;10;49
96;le secrétaire général de la CGT;10;49
98;le consultant sportif;10;50
99;le chroniqueur;10;50
100;le journaliste;10;50
101;l’artiste;10;51
102;l’artiste de rue;10;51
103;l’artiste engagé;10;51
104;le chef de l’Église catholique;10;52
105;le chef des catholiques;10;52
106;le chef d’État russe;10;53
107;le Président russe;10;53
108;l’ancien garde du corps du Président;10;54
109;le Maire de Levallois-Perret;10;55
110;le Maire LES RÉPUBLICAINS de Levallois-Perret;10;55
111;le Maire de Levallois-Perret dans les Hauts-de-Seine;10;55
112;le Maire de Levallois-Perret et roi des roublards;10;55
113;le roi des roublards;10;55
114;l’ancien Ministre de l’Intérieur;10;56
115;l’ancien Ministre;10;56
116;le Maire de Lyon;10;56
117;le gardien de la paix;10;57
118;le fonctionnaire;10;57
119;le préfet;10;58
120;le vidéaste;10;59
121;le youtubeur;10;59
122;le rappeur;10;60
123;“B2O”;10;60
124;le rappeur de Boulogne-Billancourt;10;60
125;le “Duc de Boulogne”;10;60
126;le rappeur;10;61
97;l’homme à la moustache;5;49
127;le rappeur de Sevran;10;61
128;le rappeur sevranais;10;61
129;le rappeur du 93;10;61
130;le journaliste;10;62
131;l’animal;10;63
132;l’animal;10;64
133;l’ancien Ministre de la Transition écologique;10;65
134;le militant écologiste;10;65
135;le Premier Chien;10;66
136;le chien présidentiel;10;66
137;l’animal;10;66
138;l’écologiste;10;67
139;l’essayiste;10;67
140;l’animateur;10;68
141;l’essayiste;10;69
142;le chroniqueur;10;69
143;le polémiste;10;69
144;l’animateur;10;70
145;l’animateur;10;71
146;l’assistant vocal;10;72
147;l’assistant personnel;10;72
148;l’assistant vocal;10;73
149;l’assistant personnel;10;73
150;l’assistant d’Apple;10;73
151;l’assassin présumé;10;74
152;le suspect;10;74
153;le dinosaure;10;75
154;le commercial;10;76
155;l’homme politique;10;77
156;l’ancien président du FN;10;77
157;l’ancien Premier Ministre;10;78
158;l’homme politique;10;78
159;l’animateur;10;79
160;le rappeur;10;80
161;le rappeur américain;10;80
162;le rappeur;10;81
163;le rappeur américain;10;81
164;“Yeezus”;10;81
165;le milliardaire;10;82
166;le fondateur de Microsoft;10;82
167;le milliardaire;10;83
168;le PDG de LVMH;10;83
169;l’ancien Président;10;84
170;l’ancien Président de la République;10;84
171;l’ancien Président;10;85
172;l’ancien Président de la République;10;85
173;l’ancien Ministre de l’Intérieur;10;86
174;le comédien;10;87
175;le comédien;10;88
176;le king;10;89
177;le Franais;10;90
178;l’influenceur;10;91
179;l’artiste 2 rue;10;92
180;le producteur X;10;93
181;le rappeur;10;94
182;le chanteur;10;94
183;le comédien;10;95
184;l’humoriste;10;95
185;le fonctionnaire;10;96
186;le vidéaste;10;97
187;le vidéaste;10;98
188;le youtubeur;10;98
189;le mathématicien;10;99
190;le député;10;99
191;il;10;100
192;l’ancien candidat à l’élection Présidentielle;10;101
193;le président de l’UPR;10;101
194;le comédien;10;102
195;le mexicain;10;103
196;l’homme politique;10;104
197;le Président de la Région Auvergne-Rhône-Alpes;10;104
198;le député;10;105
199;le député insoumis;10;105
200;le directeur de Mediapart;10;106
201;le journaliste;10;106
203;l’homme d’affaire;10;107
204;le président de l’OL;10;107
205;le président de l’Olympique Lyonnais;10;107
206;le sélectionneur de l’Équipe de France;10;108
207;l’entraîneur;10;109
208;le footballer;10;110
209;le footballer;10;111
210;le footballer;10;112
211;le personnage;10;113
212;le député espagnol;10;114
213;le leader de Podemos;10;114
214;le manifestant;10;115
215;le Titan;10;116
216;l’homme;10;117
217;{inventeur_dab.surnom};10;118
218;l’homme;10;119
219;le candidat à la primaire démocrate;10;120
220;le journaliste;10;121
221;le présentateur du journal de 13H;10;121
222;le vidéaste;10;122
223;l’animateur;10;122
224;le vidéaste;10;123
225;le youtubeur;10;123
226;le polémiste;10;124
227;l’idéologue d’extrême-droite;10;124
228;l’humoriste polémique;10;125
229;le porte-parole du NPA;10;126
230;l’ancien candidat à l’élection présidentielle;10;126
231;le porte parole du NPA;10;127
232;l’ancien candidat à l’élection présidentielle;10;127
233;le vidéaste;10;128
234;le chroniqueur;10;128
235;le footballer;10;129
236;le président chinois;10;130
237;le journaliste;10;131
238;le criminel;10;132
239;l’assassin;10;132
240;la victime;10;133
241;le juriste;10;134
242;l’homme;10;135
243;le manifestant;10;136
244;le casseur;10;136
245;l’industriel;10;137
246;l’animateur;10;138
247;l’animateur;10;139
248;l’animateur;10;140
249;la petite boule;10;141
250;le député;10;142
251;la personne;10;143
252;personne;10;144
253;le fan;10;145
254;l’agent immobilier;10;146
255;l’acteur;10;147
256;le vidéaste;10;148
257;le youtubeur;10;148
258;le sociologue;10;148
259;le footballer;10;149
260;le rappeur;10;150
261;le militant;10;151
262;le chanteur;10;152
263;le chanteur engagé;10;152
264;l’ancien ministre;10;153
265;l’ancien ministre du budget;10;153
266;le journaliste;10;154
267;le député;10;154
268;le député insoumis;10;154
269;le député picard;10;154
